variable,variable_type,category,Level 1,Level 12,percent_diff
CocaineUse_Ever,binary,binary,0.0,62.9,200.0
HallucinogenUse_Ever,binary,binary,0.0,2.0,200.0
StimulantUse_Ever,binary,binary,0.0,53.8,200.0
HepC_Ever,binary,binary,0.1,49.0,199.1853
CannabisUse_Ever,binary,binary,0.2,53.1,198.4991
AlcoholUse_Ever,binary,binary,1.1,75.0,194.2181
BipolarDisorder_Ever,binary,binary,0.8,35.6,191.2088
TobaccoUse_Ever,binary,binary,4.4,71.2,176.7196
HIV_Ever,binary,binary,0.2,3.1,175.7576
Schizophrenia_Ever,binary,binary,0.7,7.5,165.8537
TotalNumRx,numeric,numeric,4.673,16.56,111.9672
PainNEC_Ever,binary,binary,22.8,72.3,104.1009
MME_Max,numeric,numeric,7.71,22.566,98.1371
Depression_Ever,binary,binary,27.7,77.2,94.3756
COPD_Ever,binary,binary,15.8,35.7,77.2816
Anxiety_Ever,binary,binary,24.5,53.0,73.5484
MME_Mean,numeric,numeric,7.331,15.208,69.8966
PTSD_Ever,binary,binary,25.9,52.8,68.3609
ADHD_Ever,binary,binary,2.9,4.7,47.3684
TotalDaysSupply_Max,numeric,numeric,18.456,28.377,42.3676
TotalDaysSupply_Mean,numeric,numeric,14.077,19.321,31.4031
FamilyDisruption_Ever,binary,binary,9.9,12.9,26.3158
MME_Min,numeric,numeric,6.935,8.823,23.9624
ChronicBackPain_Ever,binary,binary,69.5,72.3,3.9492
NumFills_Max,numeric,numeric,1.274,1.286,0.9375
NumFills_Min,numeric,numeric,1.053,1.023,-2.8902
NumVisits,numeric,numeric,50.974,48.751,-4.4583
TotalDaysSupply_Min,numeric,numeric,9.824,9.193,-6.6362
NumFills_Mean,numeric,numeric,1.156,1.073,-7.4473
Age,numeric,numeric,70.143,61.796,-12.6528
EatingDisorder_Ever,binary,binary,0.7,0.6,-15.3846
HeartFailure_Ever,binary,binary,16.9,12.5,-29.932
MyofascialPain_Ever,binary,binary,9.8,5.6,-54.5455
Diabetes_Ever,binary,binary,54.9,25.2,-74.1573
Arthritis_Ever,binary,binary,60.4,19.9,-100.8717
Asthma_Ever,binary,binary,14.6,4.3,-108.9947
Obesity_Ever,binary,binary,60.4,14.9,-120.8499
