variable,variable_type,category,Negative,Positive,percent_diff
EatingDisorder_Ever,binary,binary,0.4,0.7,54.5455
Asthma_Ever,binary,binary,2.9,4.9,51.2821
MyofascialPain_Ever,binary,binary,4.7,6.0,24.2991
BipolarDisorder_Ever,binary,binary,32.2,37.2,14.4092
MME_Mean,numeric,numeric,13.777,15.867,14.1007
Schizophrenia_Ever,binary,binary,7.0,7.7,9.5238
MME_Max,numeric,numeric,21.272,23.165,8.5199
TotalNumRx,numeric,numeric,15.663,17.013,8.2629
TotalDaysSupply_Max,numeric,numeric,26.95,29.025,7.414
MME_Min,numeric,numeric,8.397,9.006,6.9988
HepC_Ever,binary,binary,47.1,49.9,5.7732
PTSD_Ever,binary,binary,50.7,53.7,5.7471
ChronicBackPain_Ever,binary,binary,69.8,73.7,5.4355
HallucinogenUse_Ever,binary,binary,2.0,2.1,4.878
Obesity_Ever,binary,binary,14.4,15.1,4.7458
PainNEC_Ever,binary,binary,70.6,73.2,3.6161
NumFills_Max,numeric,numeric,1.265,1.296,2.4209
TotalDaysSupply_Mean,numeric,numeric,19.059,19.474,2.154
HeartFailure_Ever,binary,binary,12.6,12.6,0.0
Age,numeric,numeric,62.192,61.602,-0.9532
NumFills_Mean,numeric,numeric,1.082,1.069,-1.2087
StimulantUse_Ever,binary,binary,54.4,53.5,-1.6682
NumFills_Min,numeric,numeric,1.036,1.017,-1.8509
TobaccoUse_Ever,binary,binary,72.9,70.6,-3.2056
Arthritis_Ever,binary,binary,20.4,19.7,-3.4913
AlcoholUse_Ever,binary,binary,76.9,74.1,-3.7086
Anxiety_Ever,binary,binary,54.3,52.3,-3.7523
Depression_Ever,binary,binary,79.5,76.2,-4.2389
Diabetes_Ever,binary,binary,26.2,24.7,-5.8939
CannabisUse_Ever,binary,binary,55.3,52.1,-5.959
COPD_Ever,binary,binary,37.2,35.0,-6.0942
CocaineUse_Ever,binary,binary,65.9,61.5,-6.9074
HIV_Ever,binary,binary,3.3,3.0,-9.5238
NumVisits,numeric,numeric,51.997,47.268,-9.528
TotalDaysSupply_Min,numeric,numeric,9.933,8.862,-11.3966
FamilyDisruption_Ever,binary,binary,14.4,12.2,-16.5414
ADHD_Ever,binary,binary,5.5,4.4,-22.2222
