feature,FI_fold_1,FI_fold_2,FI_fold_3,FI_fold_4,FI_fold_5,FI_fold_6,FI_fold_7,FI_fold_8,FI_fold_9,FI_fold_10,FI_fold_11,FI_fold_12,mean_importance
CocaineUse_Ever,0.1001,0.0917,0.0948,0.0944,0.0954,0.0931,0.0913,0.0896,0.0948,0.0875,0.0967,0.0987,0.094
AlcoholUse_Ever,0.0812,0.0867,0.083,0.0903,0.0792,0.0821,0.0805,0.0842,0.0968,0.078,0.0848,0.0735,0.0834
MME_Max,0.0614,0.0628,0.0689,0.0701,0.0604,0.0615,0.0575,0.0607,0.0689,0.0579,0.061,0.0578,0.0624
StimulantUse_Ever,0.0651,0.0585,0.0559,0.0623,0.0557,0.0593,0.0575,0.06,0.061,0.0677,0.059,0.069,0.0609
HepC_Ever,0.0579,0.0508,0.0532,0.0609,0.0582,0.0559,0.0545,0.0548,0.053,0.0546,0.0628,0.0634,0.0567
CannabisUse_Ever,0.0425,0.0402,0.0443,0.0427,0.0382,0.0452,0.0453,0.0452,0.0407,0.0461,0.04,0.0368,0.0423
Obesity_Ever,0.0323,0.0348,0.0394,0.0309,0.0367,0.0358,0.034,0.0364,0.0384,0.033,0.037,0.0351,0.0353
TobaccoUse_Ever,0.0313,0.0354,0.031,0.0286,0.0283,0.0291,0.0304,0.0269,0.0287,0.0271,0.0295,0.029,0.0296
BipolarDisorder_Ever,0.0302,0.0282,0.0303,0.0275,0.03,0.0304,0.0262,0.0323,0.0307,0.0277,0.0271,0.0252,0.0288
MaritalStatus,0.0269,0.0307,0.0294,0.0261,0.0239,0.0286,0.0252,0.0284,0.0286,0.0256,0.0253,0.0238,0.0269
TotalNumRx,0.0251,0.0262,0.0254,0.0258,0.0228,0.0255,0.0254,0.0232,0.0251,0.0272,0.0245,0.0251,0.0251
PainNEC_Ever,0.0231,0.0224,0.0214,0.0226,0.0233,0.0263,0.0253,0.0212,0.0222,0.0233,0.0223,0.0228,0.023
Arthritis_Ever,0.0201,0.0233,0.0234,0.022,0.0252,0.0228,0.02,0.0205,0.0224,0.0254,0.0241,0.022,0.0226
Depression_Ever,0.0177,0.0192,0.022,0.0184,0.0207,0.0178,0.0181,0.0189,0.0157,0.0193,0.0199,0.0199,0.019
TotalDaysSupply_Max,0.0177,0.0181,0.019,0.0185,0.0187,0.0178,0.0168,0.0174,0.0176,0.0199,0.0183,0.0172,0.0181
BirthSex,0.0177,0.0198,0.018,0.0183,0.0161,0.0194,0.0179,0.0161,0.0153,0.0181,0.0169,0.0153,0.0174
Age,0.0147,0.0161,0.0173,0.0164,0.0158,0.0157,0.017,0.0158,0.0173,0.016,0.0158,0.0158,0.0161
MME_Mean,0.0156,0.0148,0.015,0.0168,0.0182,0.0156,0.0162,0.0154,0.0162,0.0163,0.0148,0.0145,0.0158
COPD_Ever,0.0143,0.0137,0.0125,0.0167,0.0161,0.0142,0.0134,0.0138,0.0141,0.0166,0.0146,0.0148,0.0146
MilitarySexualTrauma,0.0123,0.0155,0.0131,0.0144,0.0135,0.0157,0.0162,0.013,0.0122,0.015,0.015,0.0138,0.0141
NumRx_Oxycodone,0.0137,0.0141,0.0138,0.013,0.0138,0.0137,0.0141,0.0139,0.0134,0.0141,0.0132,0.014,0.0137
IndexType,0.0145,0.0134,0.013,0.0133,0.0133,0.0146,0.0136,0.0137,0.0128,0.0142,0.014,0.0125,0.0136
NumVisits,0.0129,0.0118,0.0133,0.0128,0.013,0.014,0.0132,0.0124,0.0128,0.0131,0.013,0.0125,0.0129
NumRx_Hydrocodone,0.0127,0.0125,0.0136,0.0128,0.0123,0.0131,0.0128,0.0123,0.0122,0.0132,0.0117,0.0128,0.0127
Schizophrenia_Ever,0.0113,0.0077,0.0116,0.0111,0.0155,0.0146,0.0101,0.0126,0.0098,0.0119,0.0103,0.0156,0.0118
TotalDaysSupply_Mean,0.0116,0.0117,0.0115,0.0114,0.0126,0.0119,0.0122,0.0123,0.0123,0.0117,0.0111,0.0111,0.0118
