,0
CocaineUse_Ever,0.0967
AlcoholUse_Ever,0.0848
HepC_Ever,0.0628
MME_Max,0.061
StimulantUse_Ever,0.059
CannabisUse_Ever,0.04
Obesity_Ever,0.037
TobaccoUse_Ever,0.0295
BipolarDisorder_Ever,0.0271
MaritalStatus,0.0253
TotalNumRx,0.0245
Arthritis_Ever,0.0241
PainNEC_Ever,0.0223
Depression_Ever,0.0199
TotalDaysSupply_Max,0.0183
BirthSex,0.0169
Age,0.0158
MilitarySexualTrauma,0.015
MME_Mean,0.0148
COPD_Ever,0.0146
IndexType,0.014
NumRx_Oxycodone,0.0132
NumVisits,0.013
NumRx_Hydrocodone,0.0117
NumRx_Tramadol,0.0115
TotalDaysSupply_Mean,0.0111
EatingDisorder_Ever,0.0109
NumRx_Morphine,0.0108
Schizophrenia_Ever,0.0103
Race,0.0101
NumFills_Max,0.0098
NumFills_Mean,0.0096
PTSD_Ever,0.0092
TotalDaysSupply_Min,0.0089
HeartFailure_Ever,0.0088
Asthma_Ever,0.0088
Diabetes_Ever,0.0087
NumFills_Min,0.0084
Ethnicity,0.0083
Anxiety_Ever,0.0083
NumRx_Meperidine,0.0081
HallucinogenUse_Ever,0.0078
NumRx_Hydromorphone,0.0077
MyofascialPain_Ever,0.0077
ChronicBackPain_Ever,0.0075
MME_Min,0.007
ADHD_Ever,0.007
NumRx_Codeine,0.0064
NumRx_Buprenorphine,0.0063
FamilyDisruption_Ever,0.0052
HIV_Ever,0.0047
NumRx_Methadone,0.0044
NumRx_Fentanyl,0.0038
NumRx_Tapentadol,0.0013
NumRx_Levorphanol,0.0
NumRx_Oxymorphone,0.0
