Fold,Accuracy,Balanced accuracy,Precision,Recall,F1,F-Beta,AUC_ROC,AUC_PR
1,0.7775716347144919,0.7735521844754877,0.28131049888309756,0.7685109845402767,0.41186089610814347,0.5707983320239318,0.854235012969925,0.4332584979510271
2,0.8025974025974026,0.7739402332634141,0.3044645854313528,0.7379983726606998,0.4310836501901141,0.5744141861937936,0.8516627910627216,0.4282055299763945
3,0.7659451659451659,0.7712344093156644,0.2714752236262956,0.7778681855166802,0.4024839490579939,0.5665185185185185,0.8479087193081603,0.4206406662332544
4,0.7999587713873428,0.7668773085687884,0.29916107382550333,0.725386493083808,0.423616060822048,0.5645263424518744,0.8464119303673183,0.41527583238661425
5,0.7955388801847117,0.763876901443237,0.2936809107408018,0.7241659886086249,0.41788942364127246,0.5599949663373812,0.84417737162155,0.4177240243096256
6,0.7948791951842995,0.7763237586908773,0.29763627592860586,0.7530512611879577,0.426645153855019,0.576599588810666,0.8519887365214034,0.43468781654596345
7,0.7891481817432177,0.774578919609767,0.29165359272042674,0.7563059397884458,0.4209692028985507,0.5735530050598544,0.8505932889650178,0.4167841729683638
8,0.7968994804980621,0.7751016116452867,0.2991536458333333,0.7477624084621644,0.42734247849337365,0.5752378567851778,0.8494894069887787,0.4241556140910979
9,0.7807784283004865,0.7780435859044164,0.2855857207139643,0.774613506916192,0.4173150684931507,0.5770046669495121,0.8508883730056396,0.4406115730094259
10,0.8044446276902779,0.7726219649591948,0.3059283166298624,0.7327095199349064,0.4316357100059916,0.5728735924677142,0.852641994238759,0.40977118755579833
11,0.7760781726725489,0.7712774464182334,0.27928730512249444,0.7652563059397884,0.40922440987708036,0.5676948149936621,0.8498098668756414,0.4316338711381005
12,0.789436793930898,0.7732956801443551,0.29145016532829476,0.7530512611879577,0.42025201498467474,0.5718964345300624,0.8498075616773988,0.4278756276132877
