Level,total_patients,num_pos,pct_pos,avg_pred_prob,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
Level 1,2379.8333,4.5,0.0019,0.2608,0.3571,0.4933,0.6036,0.6973,0.7769,0.8439,0.898,0.9412,0.9739,0.985,0.9931
Level 2,2533.4167,11.6667,0.0046,0.4279,0.3571,0.4933,0.6036,0.6973,0.7769,0.8439,0.898,0.9412,0.9739,0.985,0.9931
Level 3,2519.6667,23.25,0.0092,0.5499,0.3571,0.4933,0.6036,0.6973,0.7769,0.8439,0.898,0.9412,0.9739,0.985,0.9931
Level 4,2480.4167,47.4167,0.0191,0.6517,0.3571,0.4933,0.6036,0.6973,0.7769,0.8439,0.898,0.9412,0.9739,0.985,0.9931
Level 5,2492.75,62.4167,0.0251,0.7381,0.3571,0.4933,0.6036,0.6973,0.7769,0.8439,0.898,0.9412,0.9739,0.985,0.9931
Level 6,2495.8333,105.5,0.0422,0.8115,0.3571,0.4933,0.6036,0.6973,0.7769,0.8439,0.898,0.9412,0.9739,0.985,0.9931
Level 7,2469.4167,170.8333,0.0692,0.872,0.3571,0.4933,0.6036,0.6973,0.7769,0.8439,0.898,0.9412,0.9739,0.985,0.9931
Level 8,2487.3333,312.6666,0.1257,0.9205,0.3571,0.4933,0.6036,0.6973,0.7769,0.8439,0.898,0.9412,0.9739,0.985,0.9931
Level 9,2481.9167,605.6667,0.2441,0.9585,0.3571,0.4933,0.6036,0.6973,0.7769,0.8439,0.898,0.9412,0.9739,0.985,0.9931
Level 10,1272.5,518.25,0.4075,0.9797,0.3571,0.4933,0.6036,0.6973,0.7769,0.8439,0.898,0.9412,0.9739,0.985,0.9931
Level 11,985.0,565.3333,0.5738,0.9889,0.3571,0.4933,0.6036,0.6973,0.7769,0.8439,0.898,0.9412,0.9739,0.985,0.9931
Level 12,205.9167,154.5,0.7506,0.9946,0.3571,0.4933,0.6036,0.6973,0.7769,0.8439,0.898,0.9412,0.9739,0.985,0.9931
