Fold,Accuracy,Balanced accuracy,Precision,Recall,F1,F-Beta,AUC_ROC,AUC_PR
1,0.8067767611396266,0.7962008573634856,0.32572858404474536,0.7828086310576583,0.4600353393618127,0.6112584244834824,0.8696398517304904,0.4936358735665264
2,0.8296139254630662,0.7849242664018694,0.35064713896457766,0.728333922886452,0.4733877457178986,0.5992433061699651,0.8661358934077766,0.5008087602568883
3,0.8059212973294652,0.79712761898724,0.3250914411119239,0.7859922178988327,0.45994618091492445,0.6123573830127322,0.8736354678018354,0.5032250780013146
4,0.8096778992784349,0.7906420225376559,0.32714371980676327,0.7665369649805448,0.45857581208337744,0.6042270800803033,0.8669557077090567,0.47703351793202753
5,0.82061295841702,0.7934742446396919,0.3412849872773537,0.7591085956844712,0.4708721886999451,0.6097976812912026,0.872636927675425,0.49636377975628876
6,0.8102730045376776,0.7883211156725861,0.32704593854578645,0.7605235231694376,0.457398149133071,0.6011631808522536,0.8666747247176065,0.5034552520849319
7,0.8218403630142082,0.783546367626231,0.3395979735250858,0.7350548284400424,0.4645651687905209,0.5962012968382395,0.8666119001494277,0.4967599988703735
8,0.8068139552183292,0.7994993971385019,0.3268471104608632,0.7902370003537319,0.4624301386876423,0.6156644435870584,0.8724733382633393,0.5048074719911366
9,0.8160380867365915,0.7884206895990994,0.33390813607148456,0.7534488857446056,0.46274169020204214,0.6021371628879968,0.8653903791194365,0.47532853054783386
10,0.7956185375288254,0.7871566778127224,0.31099461603853784,0.7764414573753096,0.4441072331815883,0.5975715996950888,0.8656788457769767,0.4975909940174234
11,0.823662872870639,0.7844086138731614,0.3422874093605801,0.7347010965688009,0.46700393479482855,0.5976634438305709,0.8643114153122543,0.4832155787961031
12,0.7949490441121774,0.7944306983335228,0.3127962085308057,0.7937743190661478,0.4487551244875512,0.6070771561519316,0.8703394568884448,0.49854717327121184
